,S,Inf,R,D
0,0.9162961417399731,0.0065817706826019375,0.07615183078120677,0.0009702567962175323
1,0.9158189018678832,0.0064908044404920545,0.07671063839557328,0.0009796552960518175
2,0.9153484606514527,0.006400832088975994,0.07726177617846723,0.0009889310811037515
3,0.9148847375673888,0.006311850839823878,0.07780532632663836,0.0009980852661478669
4,0.9144276525389804,0.006223857629010825,0.07834137085938286,0.0010071189726256905
5,0.9139771259509818,0.006136849126980576,0.0788699915943198,0.0010160333277179784
6,0.9135330786638076,0.006050821748717933,0.07939127012399182,0.0010248294634827146
7,0.9130954320270357,0.005965771663629859,0.07990528779328135,0.0010335085160522877
8,0.9126641078922489,0.005881694805235181,0.08041212567763105,0.0010420716248840383
9,0.9122390286252164,0.005798586880663353,0.08091186456206026,0.0010505199320590473
10,0.9118201171174478,0.005716443379962417,0.08140458492096485,0.0010588545816247075
11,0.9114072967971171,0.005635259585216329,0.08189036689868891,0.0010670767189770972
12,0.9110004916393899,0.005555030579472087,0.08236929029085746,0.001075187490279688
13,0.9105996261761511,0.00547575125547703,0.08284143452645634,0.0010831880419152956
14,0.9102046255051582,0.0053974163242266416,0.08330687865064607,0.0010910795199685702
15,0.9098154152986412,0.0053200203233235155,0.08376570130829873,0.0010988630697366427
16,0.9094319218113434,0.0052435576251484255,0.08421798072824155,0.001106539835265762
17,0.9090540718880484,0.005168022444843912,0.08466379470819513,0.001114110958912089
18,0.9086817929705711,0.005093408848111666,0.08510322060039263,0.0011215775809249367
19,0.9083150131042599,0.005019710758824595,0.08553633529786407,0.0011289408390509979
20,0.9079536609440128,0.004946921966454799,0.08596321522137386,0.0011362018681581989
21,0.9075976657598074,0.004875036133318723,0.08638393630699574,0.00114336179987804
22,0.9072469574417813,0.004804046801641015,0.08679857399431122,0.001150421762265312
23,0.9069014665048691,0.004733947400438375,0.0872072032152179,0.0011573828794742577
24,0.906561124092992,0.004664731252225367,0.087609898383332,0.001164246271450312
25,0.9062258619828472,0.00459639157954331,0.08800673338397241,0.0011710130536366427
26,0.9058956125872792,0.004528921511314859,0.08839778156470994,0.0011776843366947695
27,0.9055703089582652,0.004462314089025699,0.08878311572647005,0.0011842612262386407
28,0.9052498847895097,0.004396562272735493,0.08916280811517267,0.0011907448225815483
29,0.9049342744186865,0.004331658946920008,0.08953693041389724,0.001197136220495363
30,0.9046234128293147,0.004267596926146713,0.08990555373555645,0.0012034365089815746
31,0.904317235652292,0.004204368960586205,0.09026874861606705,0.0012096467710536797
32,0.9040156791671037,0.0041419677413614036,0.0906265850080042,0.0012157680835304908
33,0.9037186803026984,0.004080385905737306,0.09097913227472314,0.0012218015168399563
34,0.9034261766380748,0.004019616042153293,0.09132645918493819,0.0012277481348331194
35,0.9031381064025478,0.003959650695100691,0.09166863390774338,0.001233608994607866
36,0.9028544084757453,0.0039004823698480214,0.0920057240080637,0.0012393851463421198
37,0.9025750223873258,0.0038421035370164365,0.09233779644252169,0.0012450776331361729
38,0.9022998883164186,0.0037845066370079928,0.09266491755570914,0.00125068749086385
39,0.9020289470908275,0.0037276840842892056,0.09298715307685017,0.00125621574803222
40,0.9017621401859746,0.0036716282715327803,0.09330456811684261,0.0012616634256495745
41,0.9014994097236099,0.003616331573619816,0.09361722716566827,0.0012670315371014216
42,0.9012406984703032,0.0035617863515054107,0.09392519409015694,0.0012723210880342247
43,0.9009859498357085,0.0035079849559502265,0.0942285321320944,0.0012775330762466613
44,0.9007351078706269,0.003454919731120755,0.09452730390666352,0.0012826684915881543
45,0.9004881172648688,0.0034025830180607684,0.09482157140120505,0.0012877283158644443
46,0.9002449233449241,0.0033509671580369423,0.09511139597428844,0.0012927135227499922
47,0.9000054720714492,0.003300064495761221,0.09539683835508263,0.0012976250777070016
48,0.8997697100365818,0.0032498673824924705,0.09567795864301386,0.0013024639379108228
49,0.8995375844610949,0.0032003681790201905,0.09595481630770245,0.0013072310521815792
50,0.8993090431913776,0.003151559258533003,0.09622747018916712,0.0013119273609217784
51,0.8990840346962781,0.003103433009374461,0.09649597849828763,0.001316553796059752
52,0.8988625080637977,0.003055981837688892,0.09676039881751419,0.0013211112809986994
53,0.8986444129976513,0.003009198169959781,0.097020788101817,0.001325600730571183
54,0.8984296998136932,0.0029630744554434724,0.09727720267986448,0.0013300230509988766
55,0.8982183194362208,0.002917603168500485,0.09752969825542145,0.0013343791398574116
56,0.8980102233941676,0.0028727768108273294,0.0977783299089589,0.0013386698860461288
57,0.8978053638171793,0.00282858791359097,0.09802315209946648,0.0013428961697625826
58,0.8976036934315909,0.002785029039468797,0.09826421866645849,0.0013470588624816327
59,0.8974051655562965,0.0027420927845962927,0.09850158283216721,0.0013511588269389668
60,0.897209734098543,0.002699771780424978,0.09873529720391228,0.0013551969171188883
61,0.8970173535496176,0.002658058695492958,0.0989654137766421,0.001359173978246238
62,0.896827978980472,0.00261694623711051,0.09919198393563557,0.001363090846782269
63,0.8966415660372509,0.002576427152963038,0.09941505845936055,0.0013669483504243772
64,0.8964580709367772,0.0025364942326336457,0.09963468752247913,0.0013707473081094837
65,0.8962774504619366,0.0024971403090476275,0.09985092069899368,0.0013744885300210024
66,0.8960996619570322,0.002458358259841134,0.10006380696552732,0.0013781728175991902
67,0.8959246633230584,0.0024201410086562027,0.10027339470473035,0.0013818009635547988
68,0.8957524130129403,0.002382481526364312,0.10047973170880899,0.001385373751885871
69,0.8955828700267146,0.0023453728322205157,0.10068286518316712,0.001388891957897565
70,0.8954159939066664,0.002308807994950339,0.10088284175015738,0.0013923563482248888
71,0.8952517447324361,0.002272780133771447,0.10107970745293371,0.0013957676808582164
72,0.8950900831160741,0.002237282419352055,0.10127350775940147,0.0013991267051714738
73,0.8949309701970809,0.002202308074708143,0.10146428756625757,0.0014024341619528868
74,0.8947743676374027,0.0021678503760412726,0.10165209120311736,0.0014056907834381677
75,0.8946202376164131,0.002133902653519034,0.10183696243672131,0.0014088972933460414
76,0.8944685428258675,0.0021004582919998873,0.10201894447521634,0.0014120544069160144
77,0.8943192464648387,0.002067510731704259,0.10219807997250883,0.0014151628309482577
78,0.8941723122346381,0.002035053468833644,0.10237441103268277,0.0014182232638455376
79,0.8940277043337261,0.0020030800561394026,0.10254797921447781,0.0014212363956570741
80,0.8938853874526062,0.0019715841034431756,0.1027188255358261,0.0014242029081242432
81,0.8937453267687225,0.001940559278110158,0.10288699047843868,0.0014271234747280242
82,0.8936074879413429,0.0019099993054773861,0.10305251399244193,0.0014299987607381164
83,0.8934718371064402,0.0018798979692381127,0.10321543550105759,0.0014328294232636284
84,0.893338340871589,0.0018502491117842095,0.10337579390532177,0.0014356161113052517
