"","time","value","Intervention"
"142",141,6417930.33257291,"Baseline"
"143",142,6419520.29922509,"Baseline"
"144",143,6420956.01602198,"Baseline"
"145",144,6422252.35288935,"Baseline"
"146",145,6423422.7622873,"Baseline"
"147",146,6424479.41159876,"Baseline"
"148",147,6425433.30361681,"Baseline"
"149",148,6426294.38612673,"Baseline"
"150",149,6427071.65150427,"Baseline"
"151",150,6427773.22718003,"Baseline"
"152",151,6428406.45775883,"Baseline"
"153",152,6428977.97952605,"Baseline"
"154",153,6429493.78801632,"Baseline"
"155",154,6429959.29926451,"Baseline"
"156",155,6430379.40530683,"Baseline"
"157",156,6430758.5244533,"Baseline"
"158",157,6431100.64680939,"Baseline"
"159",158,6431409.37548344,"Baseline"
"160",159,6431687.9638786,"Baseline"
"161",160,6431939.34943246,"Baseline"
"162",161,6432166.18413574,"Baseline"
"163",162,6432370.86213152,"Baseline"
"164",163,6432555.54466964,"Baseline"
"165",164,6432722.18266551,"Baseline"
"166",165,6432872.5370901,"Baseline"
"167",166,6433008.19739672,"Baseline"
"168",167,6433130.59817141,"Baseline"
"169",168,6433241.03417619,"Baseline"
"170",169,6433340.67393888,"Baseline"
"171",170,6433430.57202836,"Baseline"
"172",171,6433511.68014163,"Baseline"
"173",172,6433584.85711652,"Baseline"
"174",173,6433650.8779736,"Baseline"
"175",174,6433710.4420807,"Baseline"
"176",175,6433764.18052469,"Baseline"
"177",176,6433812.66276703,"Baseline"
"178",177,6433856.40265242,"Baseline"
"179",178,6433895.863833,"Baseline"
"180",179,6433931.46466481,"Baseline"
"181",180,6433963.5826276,"Baseline"
"182",181,6433992.55831422,"Baseline"
"183",182,6434018.69903139,"Baseline"
"184",183,6434042.28204959,"Baseline"
"185",184,6434063.55753611,"Baseline"
"186",185,6434082.75120215,"Baseline"
"187",186,6434100.06669169,"Baseline"
"188",187,6434115.68773736,"Baseline"
"189",188,6434129.78010595,"Baseline"
"190",189,6434142.49335392,"Baseline"
"191",190,6434153.96241173,"Baseline"
"192",191,6434164.3090133,"Baseline"
"193",192,6434173.64298603,"Baseline"
"194",193,6434182.06341469,"Baseline"
"195",194,6434189.65969174,"Baseline"
"196",195,6434196.51246496,"Baseline"
"197",196,6434202.69449253,"Baseline"
"198",197,6434208.27141451,"Baseline"
"199",198,6434213.30244902,"Baseline"
"200",199,6434217.84102023,"Baseline"
"201",200,6434221.93532509,"Baseline"
"202",201,6434225.62884462,"Baseline"
"203",202,6434228.96080518,"Baseline"
"204",203,6434231.96659468,"Baseline"
"205",204,6434234.6781381,"Baseline"
"206",205,6434237.12423623,"Baseline"
"207",206,6434239.33087135,"Baseline"
"208",207,6434241.32148299,"Baseline"
"209",208,6434243.11721671,"Baseline"
"210",209,6434244.73714856,"Baseline"
"211",210,6434246.19848756,"Baseline"
"212",211,6434247.51675844,"Baseline"
"213",212,6434248.70596637,"Baseline"
"214",0,0,"Intervention"
"215",1,3.87077932483534,"Intervention"
"216",2,14.1755473098859,"Intervention"
"217",3,29.6569245786334,"Intervention"
"218",4,49.7167426019266,"Intervention"
"219",5,74.1848851093355,"Intervention"
"220",6,103.182126505941,"Intervention"
"221",7,137.040800956187,"Intervention"
"222",8,176.261289392306,"Intervention"
"223",9,221.490990292875,"Intervention"
"224",10,273.517785287467,"Intervention"
"225",11,333.27340506169,"Intervention"
"226",12,401.84357581125,"Intervention"
"227",13,480.483936646887,"Intervention"
"228",14,570.640685856384,"Intervention"
"229",15,673.975534843801,"Intervention"
"230",16,792.395351299695,"Intervention"
"231",17,928.086670896314,"Intervention"
"232",18,1083.55571476354,"Intervention"
"233",19,1261.67435909367,"Intervention"
"234",20,1465.73239283801,"Intervention"
"235",21,1699.49808491819,"Intervention"
"236",22,1967.28737560968,"Intervention"
"237",23,2274.04298599582,"Intervention"
"238",24,2625.42483501243,"Intervention"
"239",25,3027.9132820842,"Intervention"
"240",26,3488.9275904954,"Intervention"
"241",27,4016.96094409615,"Intervention"
"242",28,4621.73486561007,"Intervention"
"243",29,5314.37535469146,"Intervention"
"244",30,6107.61340582622,"Intervention"
"245",31,7016.01457446428,"Intervention"
"246",32,8056.23966806314,"Intervention"
"247",33,9247.34227953689,"Intervention"
"248",34,10611.1068812832,"Intervention"
"249",35,12172.4319576751,"Intervention"
"250",36,13959.7664676891,"Intervention"
"251",37,16005.6032987659,"Intervention"
"252",38,18347.0381904093,"Intervention"
"253",39,21026.4003732302,"Intervention"
"254",40,24091.9612427784,"Intervention"
"255",41,27598.7337049276,"Intervention"
"256",42,31609.3654467291,"Intervention"
"257",43,36195.1370194835,"Intervention"
"258",44,41437.0704938891,"Intervention"
