"","time","value","Intervention"
"143",142,369015.079459049,"Baseline"
"144",143,368805.280542294,"Baseline"
"145",144,368616.171519692,"Baseline"
"146",145,368445.708144431,"Baseline"
"147",146,368292.048695133,"Baseline"
"148",147,368153.533828377,"Baseline"
"149",148,368028.668446082,"Baseline"
"150",149,367916.105378841,"Baseline"
"151",150,367814.630702152,"Baseline"
"152",151,367723.150518182,"Baseline"
"153",152,367640.679054051,"Baseline"
"154",153,367566.327944889,"Baseline"
"155",154,367499.296583803,"Baseline"
"156",155,367438.863431918,"Baseline"
"157",156,367384.378191996,"Baseline"
"158",157,367335.254759134,"Baseline"
"159",158,367290.964871449,"Baseline"
"160",159,367251.032388705,"Baseline"
"161",160,367215.028140622,"Baseline"
"162",161,367182.565285349,"Baseline"
"163",162,367153.295127378,"Baseline"
"164",163,367126.903349327,"Baseline"
"165",164,367103.106616885,"Baseline"
"166",165,367081.64951995,"Baseline"
"167",166,367062.301816405,"Baseline"
"168",167,367044.855948405,"Baseline"
"169",168,367029.124804173,"Baseline"
"170",169,367014.939701058,"Baseline"
"171",170,367002.148567944,"Baseline"
"172",171,366990.614307236,"Baseline"
"173",172,366980.213318606,"Baseline"
"174",173,366970.834168517,"Baseline"
"175",174,366962.376391104,"Baseline"
"176",175,366954.749407419,"Baseline"
"177",176,366947.871551331,"Baseline"
"178",177,366941.669191534,"Baseline"
"179",178,366936.07594017,"Baseline"
"180",179,366931.031939475,"Baseline"
"181",180,366926.483218802,"Baseline"
"182",181,366922.381115033,"Baseline"
"183",182,366918.681750116,"Baseline"
"184",183,366915.345560089,"Baseline"
"185",184,366912.336870522,"Baseline"
"186",185,366909.623513783,"Baseline"
"187",186,366907.17648402,"Baseline"
"188",187,366904.969626113,"Baseline"
"189",188,366902.979355265,"Baseline"
"190",189,366901.1844042,"Baseline"
"191",190,366899.565595255,"Baseline"
"192",191,366898.105634904,"Baseline"
"193",192,366896.788928507,"Baseline"
"194",193,366895.601413291,"Baseline"
"195",194,366894.530407763,"Baseline"
"196",195,366893.564475945,"Baseline"
"197",196,366892.693304959,"Baseline"
"198",197,366891.907594658,"Baseline"
"199",198,366891.198958108,"Baseline"
"200",199,366890.559831861,"Baseline"
"201",200,366889.983395053,"Baseline"
"202",201,366889.463496444,"Baseline"
"203",202,366888.99458865,"Baseline"
"204",203,366888.571668825,"Baseline"
"205",204,366888.190225178,"Baseline"
"206",205,366887.846188751,"Baseline"
"207",206,366887.535889927,"Baseline"
"208",207,366887.256019221,"Baseline"
"209",208,366887.003591921,"Baseline"
"210",209,366886.775916194,"Baseline"
"211",210,366886.570564342,"Baseline"
"212",211,366886.385346865,"Baseline"
"213",212,366886.218289083,"Baseline"
"214",0,6892203,"Intervention"
"215",1,6892189.58448928,"Intervention"
"216",2,6892154.16705187,"Intervention"
"217",3,6892101.40854604,"Intervention"
"218",4,6892033.56440727,"Intervention"
"219",5,6891951.34371716,"Intervention"
"220",6,6891854.41946987,"Intervention"
"221",7,6891741.72466702,"Intervention"
"222",8,6891611.61619159,"Intervention"
"223",9,6891461.95611474,"Intervention"
"224",10,6891290.14020792,"Intervention"
"225",11,6891093.0908411,"Intervention"
"226",12,6890867.22591399,"Intervention"
"227",13,6890608.4077573,"Intervention"
"228",14,6890311.87600788,"Intervention"
"229",15,6889972.16613934,"Intervention"
"230",16,6889583.01251644,"Intervention"
"231",17,6889137.23554248,"Intervention"
"232",18,6888626.61093004,"Intervention"
"233",19,6888041.71971359,"Intervention"
"234",20,6887371.77795387,"Intervention"
"235",21,6886604.43968519,"Intervention"
"236",22,6885725.57219642,"Intervention"
"237",23,6884718.99959222,"Intervention"
"238",24,6883566.2103208,"Intervention"
"239",25,6882246.02400356,"Intervention"
"240",26,6880734.21020688,"Intervention"
"241",27,6879003.05528693,"Intervention"
"242",28,6877020.86877023,"Intervention"
"243",29,6874751.42260432,"Intervention"
"244",30,6872153.31573966,"Intervention"
"245",31,6869179.25066962,"Intervention"
"246",32,6865775.21698384,"Intervention"
"247",33,6861879.56634816,"Intervention"
"248",34,6857421.97022823,"Intervention"
"249",35,6852322.25005047,"Intervention"
"250",36,6846489.0599168,"Intervention"
"251",37,6839818.41693251,"Intervention"
"252",38,6832192.06261946,"Intervention"
"253",39,6823475.64792505,"Intervention"
"254",40,6813516.73674102,"Intervention"
"255",41,6802142.61270751,"Intervention"
"256",42,6789157.90293299,"Intervention"
"257",43,6774342.02185025,"Intervention"
"258",44,6757446.46016916,"Intervention"
"259",45,6738191.95628603,"Intervention"
"260",45,6738191.95628603,"Intervention"
"261",46,6731868.81900384,"Intervention"
"262",47,6725006.87094181,"Intervention"
"263",48,6717789.21537284,"Intervention"
"264",49,6710345.00242238,"Intervention"
"265",50,6702765.27320993,"Intervention"
"266",51,6695114.13119202,"Intervention"
"267",52,6687436.72742847,"Intervention"
"268",53,6679764.78975472,"Intervention"
