"","time","value","Intervention"
"141",140,89783.1649534207,"Baseline"
"142",141,89921.1800366226,"Baseline"
"143",142,90047.6014318814,"Baseline"
"144",143,90163.3408630846,"Baseline"
"145",144,90269.2462303488,"Baseline"
"146",145,90366.1050539835,"Baseline"
"147",146,90454.6478753134,"Baseline"
"148",147,90535.5515901397,"Baseline"
"149",148,90609.4426955045,"Baseline"
"150",149,90676.9004345363,"Baseline"
"151",150,90738.459827612,"Baseline"
"152",151,90794.614581106,"Baseline"
"153",152,90845.8198676801,"Baseline"
"154",153,90892.4949743856,"Baseline"
"155",154,90935.0258167749,"Baseline"
"156",155,90973.7673188108,"Baseline"
"157",156,91009.0456596879,"Baseline"
"158",157,91041.1603897741,"Baseline"
"159",158,91070.3864187732,"Baseline"
"160",159,91096.9758799026,"Baseline"
"161",160,91121.1598744141,"Baseline"
"162",161,91143.1501011799,"Baseline"
"163",162,91163.1403763454,"Baseline"
"164",163,91181.3080482313,"Baseline"
"165",164,91197.8153127649,"Baseline"
"166",165,91212.8104347413,"Baseline"
"167",166,91226.4288801863,"Baseline"
"168",167,91238.7943650092,"Baseline"
"169",168,91250.0198250184,"Baseline"
"170",169,91260.2083122238,"Baseline"
"171",170,91269.4538221819,"Baseline"
"172",171,91277.8420569483,"Baseline"
"173",172,91285.4511280073,"Baseline"
"174",173,91292.3522033384,"Baseline"
"175",174,91298.61010257,"Baseline"
"176",175,91304.2838439581,"Baseline"
"177",176,91309.4271467184,"Baseline"
"178",177,91314.0888920291,"Baseline"
"179",178,91318.3135458237,"Baseline"
"180",179,91322.1415462918,"Baseline"
"181",180,91325.6096588194,"Baseline"
"182",181,91328.7513009154,"Baseline"
"183",182,91331.5968394987,"Baseline"
"184",183,91334.1738627534,"Baseline"
"185",184,91336.5074286021,"Baseline"
"186",185,91338.6202917003,"Baseline"
"187",186,91340.5331107114,"Baseline"
"188",187,91342.2646374942,"Baseline"
"189",188,91343.8318897063,"Baseline"
"190",189,91345.2503082161,"Baseline"
"191",190,91346.5339006029,"Baseline"
"192",191,91347.6953719272,"Baseline"
"193",192,91348.7462438588,"Baseline"
"194",193,91349.6969631605,"Baseline"
"195",194,91350.5570004477,"Baseline"
"196",195,91351.3349400673,"Baseline"
"197",196,91352.0385618691,"Baseline"
"198",197,91352.6749155799,"Baseline"
"199",198,91353.2503884309,"Baseline"
"200",199,91353.7707666339,"Baseline"
"201",200,91354.2412912513,"Baseline"
"202",201,91354.6667089586,"Baseline"
"203",202,91355.0513181558,"Baseline"
"204",203,91355.3990108435,"Baseline"
"205",204,91355.7133106453,"Baseline"
"206",205,91355.9974073232,"Baseline"
"207",206,91356.2541881027,"Baseline"
"208",207,91356.4862660984,"Baseline"
"209",208,91356.6960061014,"Baseline"
"210",209,91356.8855479717,"Baseline"
"211",210,91357.0568278513,"Baseline"
"212",211,91357.211597401,"Baseline"
"213",212,91357.351441239,"Baseline"
"214",0,0,"Intervention"
"215",1,0.000127459976707035,"Intervention"
"216",2,0.00179592239236839,"Intervention"
"217",3,0.00806331489962254,"Intervention"
"218",4,0.0227582581017464,"Intervention"
"219",5,0.0499543603518046,"Intervention"
"220",6,0.0937408823410175,"Intervention"
"221",7,0.158161018833037,"Intervention"
"222",8,0.247242465780268,"Intervention"
"223",9,0.365077216539349,"Intervention"
"224",10,0.515926893981465,"Intervention"
"225",11,0.704341478105323,"Intervention"
"226",12,0.935285308252524,"Intervention"
"227",13,1.214269324199,"Intervention"
"228",14,1.54748963326021,"Intervention"
"229",15,1.94197408866386,"Intervention"
"230",16,2.40573990377209,"Intervention"
"231",17,2.9479652356697,"Intervention"
"232",18,3.57917900212312,"Intervention"
"233",19,4.31147252352488,"Intervention"
"234",20,5.15873514351382,"Intervention"
"235",21,6.1369227274807,"Intervention"
"236",22,7.26436177529119,"Intervention"
"237",23,8.562095296041,"Intervention"
"238",24,10.0542767651654,"Intervention"
"239",25,11.7686191349346,"Intervention"
"240",26,13.7369097838339,"Intervention"
"241",27,15.9955977586245,"Intervention"
"242",28,18.5864661412038,"Intervention"
"243",29,21.5574002184156,"Intervention"
"244",30,24.9632637626952,"Intervention"
"245",31,28.8669048347041,"Intervention"
"246",32,33.3403012310647,"Intervention"
"247",33,38.4658723753165,"Intervention"
"248",34,44.3379758874052,"Intervention"
"249",35,51.0646109891323,"Intervention"
"250",36,58.7693692197404,"Intervention"
"251",37,67.5936529112845,"Intervention"
"252",38,77.6992053930464,"Intervention"
"253",39,89.270988515056,"Intervention"
"254",40,102.52044527309,"Intervention"
"255",41,117.689219730002,"Intervention"
"256",42,135.05336518148,"Intervention"
"257",43,154.928114640607,"Intervention"
"258",44,177.673269850301,"Intervention"
"259",45,203.699263166206,"Intervention"
"260",45,203.699263166206,"Intervention"
"261",46,233.472676849634,"Intervention"
"262",47,267.492614627151,"Intervention"
"263",48,306.21194457377,"Intervention"
"264",49,349.976363226199,"Intervention"
"265",50,399.001396357773,"Intervention"
"266",51,453.372368143296,"Intervention"
"267",52,513.056628520119,"Intervention"
"268",53,577.92195136438,"Intervention"
"269",54,647.756432535351,"Intervention"
"270",55,722.288072479912,"Intervention"
"271",56,801.202451238782,"Intervention"
"272",57,884.157984233072,"Intervention"
"273",58,970.798723883813,"Intervention"
"274",59,1060.76455718523,"Intervention"
"275",60,1153.69926027059,"Intervention"
"276",61,1249.25658589794,"Intervention"
"277",62,1347.10475176181,"Intervention"
"278",63,1446.92936759998,"Intervention"
"279",64,1548.43535706697,"Intervention"
"280",65,1651.34804568616,"Intervention"
"281",66,1755.41357288075,"Intervention"
"282",67,1860.3986791316,"Intervention"
"283",68,1966.09011101473,"Intervention"
"284",69,2072.29381237135,"Intervention"
"285",70,2178.83395346946,"Intervention"
"286",71,2285.5518214596,"Intervention"
"287",72,2392.3046325308,"Intervention"
"288",73,2498.96432344607,"Intervention"
"289",74,2605.41636985348,"Intervention"
"290",75,2711.55864449763,"Intervention"
"291",76,2817.30032037753,"Intervention"
"292",77,2922.5608288692,"Intervention"
"293",78,3027.26888459722,"Intervention"
"294",79,3131.3615825758,"Intervention"
"295",80,3234.78356627688,"Intervention"
"296",81,3337.48626332508,"Intervention"
"297",82,3439.42718663442,"Intervention"
"298",83,3540.56929909485,"Intervention"
"299",84,3640.88043859649,"Intervention"
"300",85,3740.3327989055,"Intervention"
"301",86,3838.90246199903,"Intervention"
"302",87,3936.56897750302,"Intervention"
"303",88,4033.31498565661,"Intervention"
"304",89,4129.12588002045,"Intervention"
"305",90,4223.98950614527,"Intervention"
"306",91,4317.89589263074,"Intervention"
"307",92,4410.83701138013,"Intervention"
"308",93,4502.80656415966,"Intervention"
"309",94,4593.79979276728,"Intervention"
"310",95,4683.81331029975,"Intervention"
"311",96,4772.84495123632,"Intervention"
"312",97,4860.89363829945,"Intervention"
"313",98,4947.95926426277,"Intervention"
"314",99,5034.04258704953,"Intervention"
"315",100,5119.14513662548,"Intervention"
"316",101,5203.26913234719,"Intervention"
"317",102,5286.41740957567,"Intervention"
"318",103,5368.59335449581,"Intervention"
"319",104,5449.80084619609,"Intervention"
"320",105,5530.04420516619,"Intervention"
"321",106,5609.32814746519,"Intervention"
"322",107,5687.65774389919,"Intervention"
"323",108,5765.03838362306,"Intervention"
"324",109,5841.47574164823,"Intervention"
"325",110,5916.97574979824,"Intervention"
"326",111,5991.54457070729,"Intervention"
"327",112,6065.18857450545,"Intervention"
"328",113,6137.91431787589,"Intervention"
